Energe/kal,Protain/g,Suger/g,Fat/g,Water/g,Fiber/g,Ash/g,VA/mcg,Carotene/mcg,Retinol/mcg,VB1/mg,VB2/mg,VB3/mg,VC/mg,VE/mg,K/mg,Na/mg,Ca/mg,Mg/mg,Fe/mg,Mn/mg,Zn/mg,Cu/mg,P/mg,Se/mcg,tag
159,20.7,0,8.5,71.9,0,1.2,0,0,0,0,0.02,0,0,1.83,246,47.8,39,28,1.3,0.02,1.12,0.07,203,35.65,1
146,15.4,3.1,8,72.6,0,0.9,8,0,8,0.05,0.11,4.3,0,0.09,78,45.5,18,20,0.6,0.02,0.86,0.04,129,34.2,1
142,18.5,0,7.8,72.8,0,1.4,24,0,24,0.04,0.07,2.1,0,1.26,328,62.5,46,39,1.1,0.07,0.8,0.14,155,27.21,1
139,19.8,6.2,3.9,68.7,0,1.4,20220,0,20220,0.16,1.3,11.9,9,0.13,185,45,4,22,6.6,0.37,5.01,1.34,252,11.99,1
138,12.7,1.5,9,75.8,0,1,310,0,310,0.09,0.31,0.2,0,1.23,98,94.7,48,14,2,0.03,1,0.06,176,16.55,1
131,17.2,0,6.9,79.1,0,1,10,0,10,0.03,0.14,6.7,0,2.81,200,71.8,8,12,2.4,0.01,1.11,0.12,80,19.24,1
124,17.8,7.1,2.7,71.6,0,0.8,0,0,0,0.01,0.06,3.7,0,1.48,202,250.4,59,19,6.4,0.1,1.48,0.08,166,16.09,1
119,25.1,1.1,5.3,76,0,1,13,0,13,0.19,0.48,6.8,4,0.74,260,71.2,12,17,4.3,0.05,1.9,0.37,189,14.94,1
119,17.2,0,5.6,76.2,0,2.6,0,0,0,0.03,0.05,0.2,0,1.86,246,8.6,46,25,0.9,0.07,0.16,0,22,9.54,1
118,25.1,0,4.8,75.3,0,1.1,0,0,0,0.02,0.13,2.3,0,3.34,245,71.4,19,25,0.5,0.02,0.82,0.03,183,16.8,1
118,17.8,2.1,4.3,75,0,0.8,139,0,139,0.07,0.14,3.3,0,1.88,196,96.9,70,15,2.8,0.05,2.31,0.12,114,15.19,1
117,19.9,0,4.2,74.5,0,1.5,12,0,12,0.02,0.07,5.9,0,0.87,295,68.6,63,32,1,0.03,1.07,0.1,217,26.5,1
117,19.9,0,4.2,74.5,0,1.5,12,0,12,0.02,0.07,5.9,0,0.87,295,68.6,63,32,1,0.03,1.07,0.1,217,26.5,1
116,21.5,0.4,3.2,73.8,0,1.1,72,0,72,0.03,0.16,2.5,0,2.76,325,46.9,2,7,4.3,0,4.26,0.23,178,6.1,1
116,20.1,0.2,4.2,73.9,0,2.4,42,0,42,0.03,0.07,2.9,0,0.81,325,47.4,31,32,0.9,0.04,0.96,0.06,184,37.69,1
111,22.3,0.3,2.3,73.9,0,1.2,0,0,0,0.02,0.2,7.1,0,1.77,323,64,17,51,2.3,0.05,1.6,0.26,210,7.73,1
