name:,Fullness Factor:,ND Rating:,Weight loss:,Optimum health:,Weight gain:,GLYCEMIC_LOAD:,Completeness Score:,Calories:,Calories From Carbohydrate:,Calories From Fat:,Calories From Protein:,Dietary Fiber:,Sugars:,Total Fat:,Saturated Fat:,Monounsaturated Fat:,Polyunsaturated Fat:,Protein:,Vitamin A:,Vitamin C:,Thiamin:,Riboflavin:,Niacin:,Calcium:,Iron:,Magnesium:,Phosphorus:,Potassium:,Sodium:,Zinc:,Cholesterol:,Alcohol:,Water:,Ash:,
Krispy Kreme filled doughnut: Glazed Cherry Filled,2.4,3.7,37.255,44.71,39.393,9.9508,38,101.01,90.267,5.0215,5.712,2.3996,20.173,0.60003,0.23102,0.022283,0.022485,1.7003,33.005,19.202,0.080002,0.1,0.49995,30.001,0.70999,18.001,21.003,382.01,3.9998,0.95367,0,0,71.49,1,0
Krispy Kreme specialty: Cherry Pie,1.5,0.7,5.4749,8.4094,17.359,26.275,19,371,186.08,162.81,22.139,1.9003,27.526,18.5,4.8596,10.025,2.3637,5.3997,51.005,3.8995,0.26301,0.21997,1.9922,45.993,1.77,14.999,89,83.007,354,0.53993,114.01,0,27.096,1.2,0
Maraschino cherries. canned. drained,1.5,1.4,11.367,16.269,24.709,26.275,13,371,186.08,162.81,22.139,1.9003,21.569,18.5,2.8261,5.9365,1.5082,5.3997,73.99,3.8995,0.064992,0.092001,0.76895,45.993,0.74989,14.999,89,83.007,354,0.53993,39.995,0,27.096,1.2,0
Papa Murphy's dessert: Cherry Dessert Pizza,1.9,1.5,16.316,18.564,24.706,15.302,21,160.99,123.11,30.871,7.0002,1.4002,19.683,3.4303,0.68508,1.3339,1.1439,1.7502,141.98,2.2002,0.082996,0.080997,0.84602,35.003,0.82004,8.0012,27.999,77.992,350.95,0.18,0,0,62.91,1.0699,0
Pie. cherry. commercially prepared,1.8,1.3,13.252,15.54,22.57,19.895,9,212.89,151.16,48.809,12.934,2.6298,10.165,5.424,1.1235,1.6793,0.73108,3.2334,0,0.82189,0.11621,0.14441,1.4476,2.7393,1.0357,10.115,34.689,86.045,295.82,0.19067,5.398,0,51.915,1.2536,0
Pie. cherry. prepared from recipe,1.9,2.7,26.016,32.969,36.638,27.733,43,239.99,192.16,16.196,31.634,2.6004,14.76,1.7998,0.53993,0.84602,0.33905,7.9092,1,1.3,0.412,0.21498,3.6698,114.01,4.5004,23.002,90.995,173,331.97,0.96993,0,0,40.603,1.5801,0
Pie. fried pies. cherry,1.9,2.8,26.44,33.697,37.19,32.331,43,275.99,220.62,19.893,35.479,3.0001,13.339,2.2101,0.57898,1.0651,0.46893,8.8704,1,1.4002,0.51797,0.24499,4.2845,139.01,4.9004,27.999,107.99,194.02,368.98,1,0,0,32.074,1.8102,0
Pie fillings. canned. cherry,1.5,1.6,13.848,19.779,27.935,27.418,19,312.02,183.94,114.53,13.521,2.3096,14.006,12.868,6.1758,4.6205,1.4261,3.38,547.95,1,0.22998,0.23999,2.5101,21.003,1.4502,9.9997,20.002,140.98,286,0.53993,5.0006,0,35.627,0.85011,0
Pie fillings. cherry. low calorie,1.8,1.4,14.486,17.183,24.043,21.242,11,173,168.72,2.7,1.5604,1.4999,35.297,0.29998,0.053005,0.016001,0.084001,0.39005,21.997,0.60003,0.009,0.019002,0.075993,13.998,0.31,3.9998,8.0012,90.995,14.999,0.059997,0,0,56.455,0.39005,0
Pitanga. (surinam-cherry). raw,1.4,0.6,3.8424,7.2817,16.67,23.318,2,341.16,172.94,158.83,9.4136,1.1763,12.943,17.646,5.8815,2.4387,0.13407,2.3531,0,0,0.11011,0.08349,0.86587,0,0,12.829,44.154,94.241,411.83,0.22767,5.8815,0,64.862,1.0969,0
SILK Black Cherry soy Yogurt,2.8,3,36.371,36.074,30.752,4.9882,39,81.005,43.999,13.678,23.322,2.3996,6.6902,1.5198,0.42004,0.36998,0.62991,5.8307,1075.1,45.904,0.24557,0.13071,2.1171,17.001,0.62991,14.945,87.333,146.34,158.98,0.73193,8.9996,0,80.616,0.94014,0
Toaster pastries. fruit (includes apple. blueberry. cherry. strawberry),2.7,2.7,33.1,32.588,29.56,5.8077,36,93.995,50.435,19.444,24.122,1.9999,5.8008,2.1603,0.87003,0.87988,0.39005,6.0307,350.05,12.001,0.33625,0.20711,3.2369,24.997,0.77991,16.387,89.163,154.68,162.02,0.86464,8.9996,0,78.117,1.01,0
Toaster Pastries. fruit. frosted (include apples.blueberry.cherry.strawberry),2.7,2.4,30.652,29.212,27.304,5.0598,32,86.993,42.91,23.404,20.681,1.9003,3.9998,2.6004,0.62005,0.67004,0.36998,5.1705,72.998,7.7011,0.13199,0.13752,1.4744,30.001,0.83012,12.86,18.962,92.94,146.01,0.44951,11.001,0,80.512,0.9201,0
